Instrument t_obs_start(s) t_obs_final(s) UnabsFlux(ergcm-2s-1) UnabsFlux_e(ergcm-2s-1) UnabsFlux_E(ergcm-2s-1) UpperLimit
EP-WXT 19 49 2.598903e-9 5.43817e-10 7.22641e-10 No
EP-WXT 49 73 2.899346e-9 5.3865e-10 6.13669e-10 No
EP-WXT 73 174 7.4085e-10 1.3601e-10 1.54268e-10 No
EP-FXT 7500 20100 2.07061807133466e-13 2.30693581537991e-14 2.61228651822427e-14 No
EP-FXT 196128 210816 9.81521913225753e-14 1.31167441225951e-14 1.48274001447042e-14 No
EP-FXT 3900096 3914784 3.2741887733612e-14 0 0 Yes-1.645sigma
Swift/XRT 364608 371520 1.642e-13 6.9e-14 6.9e-14 No
Swift/XRT 877824 900288 9.0457773e-14 0 0 Yes-1.645sigma
Swift/XRT 1092960 1174176 1.14198357e-13 0 0 Yes-1.645sigma
Swift/XRT 1814400 1839456 8.5787688e-14 0 0 Yes-1.645sigma
Swift/XRT 2644704 2649888 1.7876376e-13 0 0 Yes-1.645sigma
Swift/XRT 4201632 4277664 1.16834886e-13 0 0 Yes-1.645sigma
Swift/XRT 4371840 4441824 4.7303823e-14 0 0 Yes-1.645sigma
