Since-Trigger-Observed(s)	Since-Trigger-Observed(d)	Filter	Effective-Wavelength(Angstroms)	AB-Magnitude	AB-Magnitude_e	AB-Magnitude_E	Flux-Density(micro-Jankys)	Flux-Density_e(micro-Jankys)	Flux-Density_E(micro-Jankys)	Upper Limits Nature	Source
11232.0	0.13	r	6165.0	21.43664357014095	0.11837415638607851	0.1207356040124914	9.668132016073276	1.0174901976501014	1.1136918914119944	No	van Dalen et al. 2025
12960.0	0.15	i	7481.0	21.342909717297765	0.15929871571535514	0.15765078389253162	10.539890842762032	1.4244894050408128	1.6656098406508275	No	van Dalen et al. 2025
14688.000000000002	0.17	r	6165.0	21.46750684830123	0.07881200758695783	0.07864666306126367	9.397173832611363	0.6566271746628352	0.7074945129888439	No	Srivastav et al. 2025
16416.0	0.19	i	7481.0	21.341651940153298	0.1580091113871518	0.1590538222599065	10.552107915012575	1.4379259497146424	1.6530349833105118	No	Srivastav et al. 2025
29376.000000000004	0.34	g	4686.0	21.78019959525342	0.1226075048293751	0.11889578782827925	7.045635343228946	0.7308026786103093	0.8422967627035205	No	Srivastav et al. 2025
44064.0	0.51	r	6165.0	21.81742580736202	0.09865575863785381	0.10081571384555588	6.808158799404537	0.6037073354067602	0.6476022449409838	No	van Dalen et al. 2025
45014.4	0.521	r	6165.0	21.797831532145374	0.06980577147252376	0.06914232366361617	6.932140991139727	0.42769281713785245	0.4603311363031682	No	Sun et al. 2025
53568.0	0.62	i	7481.0	21.491624599942774	0.029761360700376827	0.02955253701845706	9.190733220718599	0.2467876991972245	0.2554138787642542	No	van Dalen et al. 2025
103680.0	1.2	i	7481.0	21.633678774371027	0.22884519635102407	0.22811117967708228	8.063590979538628	1.528012735786383	1.8919890714494505	No	Srivastav et al. 2025
106272.0	1.23	r	6165.0	21.9674128390268	0.06945378880122277	0.06938061085245906	5.929729254845233	0.36706792039849684	0.3917159812015476	No	Srivastav et al. 2025
128736.0	1.49	g-UB	4686.0	21.879542053283114			6.429588502189937			Yes-1sigma	van Dalen et al. 2025
129686.4	1.501	g	4686.0	22.64957546756058	0.205466624738456	0.20746856778190548	3.1635143804747314	0.5502557948910803	0.6590645605134486	No	Sun et al. 2025
130464.0	1.51	i	7481.0	22.683736080695674	0.2660652519904332	0.25855629454793316	3.0655299798068336	0.6496071938864905	0.8512724771704451	No	van Dalen et al. 2025
131241.6	1.519	i	7481.0	22.260263358028915	0.18522004515552837	0.18740934062477166	4.527877376173893	0.717825220372548	0.8422263563396873	No	Sun et al. 2025
132192.0	1.53	r	6165.0	22.265786084672072	0.15991486807359223	0.15858590374619652	4.5049042665067915	0.6122018500651053	0.7148674926203036	No	van Dalen et al. 2025
132537.6	1.534	r	6165.0	22.316962281010362	0.14807011961327632	0.15161349025192905	4.297492105871777	0.5600911571668957	0.6279263742225483	No	Sun et al. 2025
160704.0	1.8599999999999999	g	4686.0	21.749578342316738	0.10793509793832712	0.11082175319461385	7.247173574557933	0.7032237338226011	0.7574829672285481	No	van Dalen et al. 2025
161568.0	1.8699999999999999	r-UB	6165.0	21.517456055691767			8.974651179515783			Yes-1sigma	van Dalen et al. 2025
161568.0	1.8699999999999999	i-UB	7481.0	21.34133233177512			10.555214596011862			Yes-1sigma	van Dalen et al. 2025
171936.0	1.99	r-UB	6165.0	22.317456055691764			4.295538122615182			Yes-3sigma	Srivastav et al. 2025
171936.0	1.99	i	7481.0	22.139818344608315	0.2953074434664593	0.29786889149662343	5.059092991435835	1.2138383454413733	1.581328394501266	No	van Dalen et al. 2025
172800.0	2.0	i	7481.0	22.311547596338315	0.18783443313748194	0.18646073986346678	4.318977697976879	0.6815307675601722	0.8157182844796693	No	Srivastav et al. 2025
173663.99999999997	2.0099999999999993	z	8931.0	21.910221636761786	0.1974616932169475	0.19987066921598284	6.250450861792352	1.0509329623738364	1.246696073386778	No	Srivastav et al. 2025
185760.0	2.15	r	6165.0	21.966928242959575	0.13915038636144672	0.1405708994192274	5.9323764598269	0.7204252313695799	0.8111778170224453	No	Srivastav et al. 2025
192672.0	2.23	i	7481.0	22.141269796361644	0.14930867141804782	0.14774206772394294	5.052334328736708	0.6427743487013862	0.7448291829816234	No	Srivastav et al. 2025
