Instrument	Frequency-of-evaluation-of-Fnu(KeV)	Since-Trigger-Observed(s)	Start-Observation-Time(s)	Final-Observation-Time(s)	Since-Trigger-Observed(d)	Start-Observation-Time(d)	Final-Observation-Time(d)	Flux-Density(micro-Jankys)	Flux-Density_e(micro-Jankys)	Flux-Density_E(micro-Jankys)	Upper Limit Nature
EP-WXT	1.0	34.0	19.0	49.0	0.0003935185185185185	0.0002199074074074074	0.0005671296296296296	545.4248036265735	153.4298119888688	167.01512340222237	No
EP-WXT	1.0	61.0	49.0	73.0	0.0007060185185185185	0.0005671296296296296	0.0008449074074074074	659.5143962692848	134.22359334968036	140.3666077572279	No
EP-WXT	1.0	123.5	73.0	174.0	0.0014293981481481482	0.0008449074074074074	0.002013888888888889	166.4647418358081	34.544757713663614	35.9030416411647	No
EP-FXT	1.0	13800.0	7500.0	20100.0	0.1597222222222222	0.08680555555555555	0.23263888888888887	0.034356832710134094	0.007964657309682167	0.008122715576843327	No
EP-FXT	1.0	203472.0	196128.0	210816.0	2.355	2.27	2.44	0.01625878169413557	0.00391286282901576	0.004139186741911537	No
Swift/XRT	1.0	368064.0	364608.0	371520.0	4.26	4.22	4.3	0.02121666296314429	0.008868918272051956	0.008847866909395282	No
Swift/XRT	1.0	889056.0	877824.0	900288.0	10.29	10.16	10.42	0.011668150304406485	0.0	0.0	Yes-1.645sigma
Swift/XRT	1.0	1133568.0	1092960.0	1174176.0	13.12	12.649999999999999	13.59	0.014730448802805152	0.0	0.0	Yes-1.645sigma
Swift/XRT	1.0	1826928.0	1814400.0	1839456.0	21.145	21.0	21.29	0.011065755928476466	0.0	0.0	Yes-1.645sigma
Swift/XRT	1.0	2647296.0	2644704.0	2649888.0	30.639999999999997	30.61	30.669999999999998	0.02305874168116926	0.0	0.0	Yes-1.645sigma
EP-FXT	1.0	3907440.0	3900096.0	3914784.0	45.224999999999994	45.14	45.309999999999995	0.005443946350654495	0.0	0.0	Yes-1.645sigma
Swift/XRT	1.0	4239648.0	4201632.0	4277664.0	49.07	48.629999999999995	49.51	0.01507053474162134	0.0	0.0	Yes-1.645sigma
Swift/XRT	1.0	4406832.0	4371840.0	4441824.0	51.004999999999995	50.599999999999994	51.41	0.006101721261002527	0.0	0.0	Yes-1.645sigma
